Cell.Line,Cell.ID,Lot.Number,Treatment,Time.Point,Replicate,Sub.experiment,Batch,Filename,WG.Plate,factor1,factor2,Iso.Order,Iso.Row,Iso.Col,RNAYield(ug),Label.Order,Label.Row,Label.Col
Adult,G,#1528526,TGFb,3,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.3.Adult,TGFb.3.G,17,A,3,,46,F,6
Adult,G,#1528526,TGFb,96,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.96.Adult,TGFb.96.G,18,B,3,,30,F,4
SEN,D,#1366434,Control,4,1,1,1,GSS2375_WellData_p1.txt,1,Control.4.SEN,Control.4.D,19,C,3,,54,F,7
Adult,G,#1528526,Control,48,1,1,1,GSS2375_WellData_p1.txt,1,Control.48.Adult,Control.48.G,20,D,3,,70,F,9
SEN,D,#1366434,TGFb,4,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.4.SEN,TGFb.4.D,21,E,3,,45,E,6
SEN,D,#1366434,Control,96,1,1,1,GSS2375_WellData_p1.txt,1,Control.96.SEN,Control.96.D,22,F,3,,16,H,2
SEN,D,#1366434,Control,3,1,1,1,GSS2375_WellData_p1.txt,1,Control.3.SEN,Control.3.D,23,G,3,,42,B,6
SEN,D,#1366434,Control,12,1,1,1,GSS2375_WellData_p1.txt,1,Control.12.SEN,Control.12.D,24,H,3,,22,F,3
Adult,G,#1528526,Baseline,96,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.96.Adult,Baseline.96.G,25,A,4,,26,B,4
SEN,D,#1366434,TGFb,2,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.2.SEN,TGFb.2.D,26,B,4,,27,C,4
HDFn,A,#1366434,Control,1,1,1,1,GSS2375_WellData_p1.txt,1,Control.1.HDFn,Control.1.A,27,C,4,,68,D,9
SEN,D,#1366434,TGFb,96,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.96.SEN,TGFb.96.D,28,D,4,,12,D,2
Adult,G,#1528526,TGFb,8,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.8.Adult,TGFb.8.G,29,E,4,,32,H,4
Adult,G,#1528526,TGFb,0.5,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.0.5.Adult,TGFb.0.5.G,30,F,4,,1,A,1
HDFn,A,#1366434,Control,48,1,1,1,GSS2375_WellData_p1.txt,1,Control.48.HDFn,Control.48.A,31,G,4,,23,G,3
HDFn,A,#1366434,Control,2,1,1,1,GSS2375_WellData_p1.txt,1,Control.2.HDFn,Control.2.A,32,H,4,,24,H,3
Adult,G,#1528526,Control,24,1,1,1,GSS2375_WellData_p1.txt,1,Control.24.Adult,Control.24.G,33,A,5,,19,C,3
SEN,D,#1366434,TGFb,0.5,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.0.5.SEN,TGFb.0.5.D,34,B,5,,66,B,9
HDFn,A,#1366434,TGFb,12,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.12.HDFn,TGFb.12.A,35,C,5,,25,A,4
HDFn,A,#1366434,Control,12,1,1,1,GSS2375_WellData_p1.txt,1,Control.12.HDFn,Control.12.A,36,D,5,,59,C,8
HDFn,A,#1366434,TGFb,0.5,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.0.5.HDFn,TGFb.0.5.A,37,E,5,,52,D,7
SEN,D,#1366434,Baseline,96,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.96.SEN,Baseline.96.D,38,F,5,,28,D,4
Adult,G,#1528526,TGFb,24,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.24.Adult,TGFb.24.G,39,G,5,,38,F,5
HDFn,A,#1366434,Control,3,1,1,1,GSS2375_WellData_p1.txt,1,Control.3.HDFn,Control.3.A,40,H,5,,55,G,7
SEN,D,#1366434,Control,8,1,1,1,GSS2375_WellData_p1.txt,1,Control.8.SEN,Control.8.D,41,A,6,,56,H,7
SEN,D,#1366434,TGFb,72,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.72.SEN,TGFb.72.D,42,B,6,,47,G,6
SEN,D,#1366434,Control,48,1,1,1,GSS2375_WellData_p1.txt,1,Control.48.SEN,Control.48.D,43,C,6,,40,H,5
SEN,D,#1366434,TGFb,8,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.8.SEN,TGFb.8.D,44,D,6,,61,E,8
SEN,D,#1366434,TGFb,1,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.1.SEN,TGFb.1.D,45,E,6,,44,D,6
HDFn,A,#1366434,TGFb,1,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.1.HDFn,TGFb.1.A,46,F,6,,48,H,6
SEN,D,#1366434,TGFb,3,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.3.SEN,TGFb.3.D,47,G,6,,7,G,1
HDFn,A,#1366434,Control,96,1,1,1,GSS2375_WellData_p1.txt,1,Control.96.HDFn,Control.96.A,48,H,6,,65,A,9
Adult,G,#1528526,Control,1,1,1,1,GSS2375_WellData_p1.txt,1,Control.1.Adult,Control.1.G,49,A,7,,6,F,1
Adult,G,#1528526,Control,8,1,1,1,GSS2375_WellData_p1.txt,1,Control.8.Adult,Control.8.G,50,B,7,,64,H,8
HDFn,A,#1366434,TGFb,48,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.48.HDFn,TGFb.48.A,51,C,7,,71,G,9
HDFn,A,#1366434,Control,8,1,1,1,GSS2375_WellData_p1.txt,1,Control.8.HDFn,Control.8.A,52,D,7,,2,B,1
HDFn,A,#1366434,Baseline,96,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.96.HDFn,Baseline.96.A,53,E,7,,15,G,2
SEN,D,#1366434,Control,0.5,1,1,1,GSS2375_WellData_p1.txt,1,Control.0.5.SEN,Control.0.5.D,54,F,7,,3,C,1
SEN,D,#1366434,Control,1,1,1,1,GSS2375_WellData_p1.txt,1,Control.1.SEN,Control.1.D,55,G,7,,72,H,9
HDFn,A,#1366434,TGFb,2,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.2.HDFn,TGFb.2.A,56,H,7,,69,E,9
HDFn,A,#1366434,TGFb,3,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.3.HDFn,TGFb.3.A,57,A,8,,37,E,5
HDFn,A,#1366434,Control,4,1,1,1,GSS2375_WellData_p1.txt,1,Control.4.HDFn,Control.4.A,58,B,8,,51,C,7
HDFn,A,#1366434,Control,24,1,1,1,GSS2375_WellData_p1.txt,1,Control.24.HDFn,Control.24.A,59,C,8,,36,D,5
SEN,D,#1366434,TGFb,12,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.12.SEN,TGFb.12.D,60,D,8,,43,C,6
HDFn,A,#1366434,TGFb,8,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.8.HDFn,TGFb.8.A,61,E,8,,60,D,8
HDFn,A,#1366434,TGFb,4,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.4.HDFn,TGFb.4.A,62,F,8,,21,E,3
Adult,G,#1528526,TGFb,4,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.4.Adult,TGFb.4.G,63,G,8,,67,C,9
Adult,G,#1528526,Control,3,1,1,1,GSS2375_WellData_p1.txt,1,Control.3.Adult,Control.3.G,64,H,8,,35,C,5
SEN,D,#1366434,Baseline,0,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.0.SEN,Baseline.0.D,65,A,9,,39,G,5
Adult,G,#1528526,Control,72,1,1,1,GSS2375_WellData_p1.txt,1,Control.72.Adult,Control.72.G,66,B,9,,9,A,2
Adult,G,#1528526,TGFb,72,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.72.Adult,TGFb.72.G,67,C,9,,53,E,7
HDFn,A,#1366434,Baseline,0,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.0.HDFn,Baseline.0.A,68,D,9,,63,G,8
Adult,G,#1528526,Baseline,0,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.0.Adult,Baseline.0.G,69,E,9,,10,B,2
SEN,D,#1366434,Control,2,1,1,1,GSS2375_WellData_p1.txt,1,Control.2.SEN,Control.2.D,70,F,9,,17,A,3
HDFn,A,#1366434,Control,72,1,1,1,GSS2375_WellData_p1.txt,1,Control.72.HDFn,Control.72.A,71,G,9,,4,D,1
Adult,G,#1528526,TGFb,12,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.12.Adult,TGFb.12.G,72,H,9,,49,A,7
HDFn,A,#1366434,Control,1,2,1,2,GSS2375_WellData_p2.txt,6,Control.1.HDFn,Control.1.A,1,A,1,,63,G,8
SEN,D,#1366434,Control,48,2,1,2,GSS2375_WellData_p2.txt,6,Control.48.SEN,Control.48.D,2,B,1,,54,F,7
SEN,D,#1366434,TGFb,12,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.12.SEN,TGFb.12.D,3,C,1,,1,A,1
HDFn,A,#1366434,TGFb,1,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.1.HDFn,TGFb.1.A,4,D,1,,9,A,2
SEN,D,#1366434,Control,24,2,1,2,GSS2375_WellData_p2.txt,6,Control.24.SEN,Control.24.D,5,E,1,,70,F,9
SEN,D,#1366434,Baseline,0,2,1,2,GSS2375_WellData_p2.txt,6,Baseline.0.SEN,Baseline.0.D,6,F,1,,12,D,2
SEN,D,#1366434,Control,12,2,1,2,GSS2375_WellData_p2.txt,6,Control.12.SEN,Control.12.D,7,G,1,,68,D,9
SEN,D,#1366434,TGFb,4,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.4.SEN,TGFb.4.D,8,H,1,,71,G,9
Adult,G,#1528526,TGFb,2,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.2.Adult,TGFb.2.G,9,A,2,,53,E,7
Adult,G,#1528526,Control,24,2,1,2,GSS2375_WellData_p2.txt,6,Control.24.Adult,Control.24.G,10,B,2,,47,G,6
SEN,D,#1366434,TGFb,72,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.72.SEN,TGFb.72.D,11,C,2,,56,H,7
SEN,D,#1366434,Control,8,2,1,2,GSS2375_WellData_p2.txt,6,Control.8.SEN,Control.8.D,12,D,2,,35,C,5
Adult,G,#1528526,TGFb,3,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.3.Adult,TGFb.3.G,13,E,2,,21,E,3
Adult,G,#1528526,Control,8,2,1,2,GSS2375_WellData_p2.txt,6,Control.8.Adult,Control.8.G,14,F,2,,34,B,5
Adult,G,#1528526,Control,3,2,1,2,GSS2375_WellData_p2.txt,6,Control.3.Adult,Control.3.G,15,G,2,,8,H,1
HDFn,A,#1366434,TGFb,8,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.8.HDFn,TGFb.8.A,16,H,2,,7,G,1
SEN,D,#1366434,TGFb,8,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.8.SEN,TGFb.8.D,17,A,3,,66,B,9
HDFn,A,#1366434,TGFb,12,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.12.HDFn,TGFb.12.A,18,B,3,,24,H,3
Adult,G,#1528526,TGFb,24,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.24.Adult,TGFb.24.G,19,C,3,,27,C,4
HDFn,A,#1366434,Control,48,2,1,2,GSS2375_WellData_p2.txt,6,Control.48.HDFn,Control.48.A,20,D,3,,28,D,4
SEN,D,#1366434,Control,72,2,1,2,GSS2375_WellData_p2.txt,6,Control.72.SEN,Control.72.D,21,E,3,,43,C,6
SEN,D,#1366434,TGFb,96,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.96.SEN,TGFb.96.D,22,F,3,,19,C,3
HDFn,A,#1366434,Control,8,2,1,2,GSS2375_WellData_p2.txt,6,Control.8.HDFn,Control.8.A,23,G,3,,69,E,9
HDFn,A,#1366434,Control,4,2,1,2,GSS2375_WellData_p2.txt,6,Control.4.HDFn,Control.4.A,24,H,3,,44,D,6
SEN,D,#1366434,TGFb,3,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.3.SEN,TGFb.3.D,25,A,4,,42,B,6
Adult,G,#1528526,TGFb,4,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.4.Adult,TGFb.4.G,26,B,4,,25,A,4
HDFn,A,#1366434,Control,3,2,1,2,GSS2375_WellData_p2.txt,6,Control.3.HDFn,Control.3.A,27,C,4,,45,E,6
HDFn,A,#1366434,Control,72,2,1,2,GSS2375_WellData_p2.txt,6,Control.72.HDFn,Control.72.A,28,D,4,,11,C,2
Adult,G,#1528526,Control,72,2,1,2,GSS2375_WellData_p2.txt,6,Control.72.Adult,Control.72.G,29,E,4,,38,F,5
HDFn,A,#1366434,Baseline,96,2,1,2,GSS2375_WellData_p2.txt,6,Baseline.96.HDFn,Baseline.96.A,30,F,4,,61,E,8
HDFn,A,#1366434,Control,24,2,1,2,GSS2375_WellData_p2.txt,6,Control.24.HDFn,Control.24.A,31,G,4,,32,H,4
SEN,D,#1366434,Baseline,96,2,1,2,GSS2375_WellData_p2.txt,6,Baseline.96.SEN,Baseline.96.D,32,H,4,,49,A,7
Adult,G,#1528526,TGFb,0.5,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.0.5.Adult,TGFb.0.5.G,33,A,5,,40,H,5
Adult,G,#1528526,Control,1,2,1,2,GSS2375_WellData_p2.txt,6,Control.1.Adult,Control.1.G,34,B,5,,58,B,8
Adult,G,#1528526,Control,96,2,1,2,GSS2375_WellData_p2.txt,6,Control.96.Adult,Control.96.G,35,C,5,,16,H,2
SEN,D,#1366434,Control,0.5,2,1,2,GSS2375_WellData_p2.txt,6,Control.0.5.SEN,Control.0.5.D,36,D,5,,15,G,2
SEN,D,#1366434,TGFb,24,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.24.SEN,TGFb.24.D,37,E,5,,30,F,4
HDFn,A,#1366434,TGFb,3,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.3.HDFn,TGFb.3.A,38,F,5,,2,B,1
HDFn,A,#1366434,Control,96,2,1,2,GSS2375_WellData_p2.txt,6,Control.96.HDFn,Control.96.A,39,G,5,,37,E,5
SEN,D,#1366434,TGFb,48,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.48.SEN,TGFb.48.D,40,H,5,,60,D,8
Adult,G,#1528526,Baseline,0,2,1,2,GSS2375_WellData_p2.txt,6,Baseline.0.Adult,Baseline.0.G,41,A,6,,65,A,9
Adult,G,#1528526,TGFb,8,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.8.Adult,TGFb.8.G,42,B,6,,50,B,7
SEN,D,#1366434,Control,96,2,1,2,GSS2375_WellData_p2.txt,6,Control.96.SEN,Control.96.D,43,C,6,,6,F,1
SEN,D,#1366434,TGFb,0.5,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.0.5.SEN,TGFb.0.5.D,44,D,6,,5,E,1
Adult,G,#1528526,Baseline,96,2,1,2,GSS2375_WellData_p2.txt,6,Baseline.96.Adult,Baseline.96.G,45,E,6,,14,F,2
HDFn,A,#1366434,Control,2,2,1,2,GSS2375_WellData_p2.txt,6,Control.2.HDFn,Control.2.A,46,F,6,,52,D,7
SEN,D,#1366434,Control,2,2,1,2,GSS2375_WellData_p2.txt,6,Control.2.SEN,Control.2.D,47,G,6,,36,D,5
Adult,G,#1528526,TGFb,96,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.96.Adult,TGFb.96.G,48,H,6,,72,H,9
SEN,D,#1366434,TGFb,1,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.1.SEN,TGFb.1.D,49,A,7,,3,C,1
HDFn,A,#1366434,Control,0.5,2,1,2,GSS2375_WellData_p2.txt,6,Control.0.5.HDFn,Control.0.5.A,50,B,7,,41,A,6
Adult,G,#1528526,Control,48,2,1,2,GSS2375_WellData_p2.txt,6,Control.48.Adult,Control.48.G,51,C,7,,31,G,4
Adult,G,#1528526,TGFb,12,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.12.Adult,TGFb.12.G,52,D,7,,64,H,8
Adult,G,#1528526,TGFb,72,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.72.Adult,TGFb.72.G,53,E,7,,59,C,8
Adult,G,#1528526,Control,12,2,1,2,GSS2375_WellData_p2.txt,6,Control.12.Adult,Control.12.G,54,F,7,,20,D,3
Adult,G,#1528526,TGFb,1,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.1.Adult,TGFb.1.G,55,G,7,,62,F,8
HDFn,A,#1366434,TGFb,4,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.4.HDFn,TGFb.4.A,56,H,7,,4,D,1
Adult,G,#1528526,TGFb,48,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.48.Adult,TGFb.48.G,57,A,8,,67,C,9
HDFn,A,#1366434,TGFb,2,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.2.HDFn,TGFb.2.A,58,B,8,,17,A,3
HDFn,A,#1366434,TGFb,24,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.24.HDFn,TGFb.24.A,59,C,8,,26,B,4
Adult,G,#1528526,Control,4,2,1,2,GSS2375_WellData_p2.txt,6,Control.4.Adult,Control.4.G,60,D,8,,51,C,7
HDFn,A,#1366434,TGFb,72,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.72.HDFn,TGFb.72.A,61,E,8,,57,A,8
HDFn,A,#1366434,Baseline,0,2,1,2,GSS2375_WellData_p2.txt,6,Baseline.0.HDFn,Baseline.0.A,62,F,8,,48,H,6
HDFn,A,#1366434,TGFb,96,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.96.HDFn,TGFb.96.A,63,G,8,,46,F,6
HDFn,A,#1366434,Control,12,2,1,2,GSS2375_WellData_p2.txt,6,Control.12.HDFn,Control.12.A,64,H,8,,13,E,2
SEN,D,#1366434,Control,3,2,1,2,GSS2375_WellData_p2.txt,6,Control.3.SEN,Control.3.D,65,A,9,,23,G,3
Adult,G,#1528526,Control,0.5,2,1,2,GSS2375_WellData_p2.txt,6,Control.0.5.Adult,Control.0.5.G,66,B,9,,33,A,5
SEN,D,#1366434,TGFb,2,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.2.SEN,TGFb.2.D,67,C,9,,10,B,2
HDFn,A,#1366434,TGFb,0.5,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.0.5.HDFn,TGFb.0.5.A,68,D,9,,22,F,3
HDFn,A,#1366434,TGFb,48,2,1,2,GSS2375_WellData_p2.txt,6,TGFb.48.HDFn,TGFb.48.A,69,E,9,,18,B,3
SEN,D,#1366434,Control,4,2,1,2,GSS2375_WellData_p2.txt,6,Control.4.SEN,Control.4.D,70,F,9,,39,G,5
Adult,G,#1528526,Control,2,2,1,2,GSS2375_WellData_p2.txt,6,Control.2.Adult,Control.2.G,71,G,9,,29,E,4
SEN,D,#1366434,Control,1,2,1,2,GSS2375_WellData_p2.txt,6,Control.1.SEN,Control.1.D,72,H,9,,55,G,7
SEN,D,#1366434,Control,1,3,1,3,GSS2375_WellData_p3.txt,7,Control.1.SEN,Control.1.D,1,A,1,,13,E,2
HDFn,A,#1366434,Control,48,3,1,3,GSS2375_WellData_p3.txt,7,Control.48.HDFn,Control.48.A,2,B,1,,59,C,8
HDFn,A,#1366434,Control,72,3,1,3,GSS2375_WellData_p3.txt,7,Control.72.HDFn,Control.72.A,3,C,1,,17,A,3
Adult,G,#1528526,TGFb,1,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.1.Adult,TGFb.1.G,4,D,1,,52,D,7
HDFn,A,#1366434,Control,8,3,1,3,GSS2375_WellData_p3.txt,7,Control.8.HDFn,Control.8.A,5,E,1,,27,C,4
SEN,D,#1366434,TGFb,3,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.3.SEN,TGFb.3.D,6,F,1,,56,H,7
HDFn,A,#1366434,TGFb,0.5,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.0.5.HDFn,TGFb.0.5.A,7,G,1,,32,H,4
Adult,G,#1528526,Control,96,3,1,3,GSS2375_WellData_p3.txt,7,Control.96.Adult,Control.96.G,8,H,1,,6,F,1
SEN,D,#1366434,TGFb,0.5,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.0.5.SEN,TGFb.0.5.D,9,A,2,,47,G,6
SEN,D,#1366434,Baseline,0,3,1,3,GSS2375_WellData_p3.txt,7,Baseline.0.SEN,Baseline.0.D,10,B,2,,21,E,3
Adult,G,#1528526,Control,1,3,1,3,GSS2375_WellData_p3.txt,7,Control.1.Adult,Control.1.G,11,C,2,,37,E,5
Adult,G,#1528526,Control,72,3,1,3,GSS2375_WellData_p3.txt,7,Control.72.Adult,Control.72.G,12,D,2,,66,B,9
HDFn,A,#1366434,Control,4,3,1,3,GSS2375_WellData_p3.txt,7,Control.4.HDFn,Control.4.A,13,E,2,,62,F,8
HDFn,A,#1366434,Control,2,3,1,3,GSS2375_WellData_p3.txt,7,Control.2.HDFn,Control.2.A,14,F,2,,69,E,9
Adult,G,#1528526,Baseline,0,3,1,3,GSS2375_WellData_p3.txt,7,Baseline.0.Adult,Baseline.0.G,15,G,2,,55,G,7
SEN,D,#1366434,Control,96,3,1,3,GSS2375_WellData_p3.txt,7,Control.96.SEN,Control.96.D,16,H,2,,49,A,7
SEN,D,#1366434,Control,48,3,1,3,GSS2375_WellData_p3.txt,7,Control.48.SEN,Control.48.D,17,A,3,,4,D,1
SEN,D,#1366434,Control,2,3,1,3,GSS2375_WellData_p3.txt,7,Control.2.SEN,Control.2.D,18,B,3,,71,G,9
HDFn,A,#1366434,Baseline,0,3,1,3,GSS2375_WellData_p3.txt,7,Baseline.0.HDFn,Baseline.0.A,19,C,3,,20,D,3
Adult,G,#1528526,TGFb,0.5,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.0.5.Adult,TGFb.0.5.G,20,D,3,,67,C,9
HDFn,A,#1366434,TGFb,48,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.48.HDFn,TGFb.48.A,21,E,3,,64,H,8
HDFn,A,#1366434,Control,0.5,3,1,3,GSS2375_WellData_p3.txt,7,Control.0.5.HDFn,Control.0.5.A,22,F,3,,34,B,5
SEN,D,#1366434,Control,0.5,3,1,3,GSS2375_WellData_p3.txt,7,Control.0.5.SEN,Control.0.5.D,23,G,3,,61,E,8
Adult,G,#1528526,TGFb,48,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.48.Adult,TGFb.48.G,24,H,3,,1,A,1
SEN,D,#1366434,Control,12,3,1,3,GSS2375_WellData_p3.txt,7,Control.12.SEN,Control.12.D,25,A,4,,26,B,4
SEN,D,#1366434,Control,8,3,1,3,GSS2375_WellData_p3.txt,7,Control.8.SEN,Control.8.D,26,B,4,,41,A,6
Adult,G,#1528526,TGFb,3,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.3.Adult,TGFb.3.G,27,C,4,,10,B,2
SEN,D,#1366434,TGFb,48,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.48.SEN,TGFb.48.D,28,D,4,,48,H,6
HDFn,A,#1366434,TGFb,12,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.12.HDFn,TGFb.12.A,29,E,4,,2,B,1
HDFn,A,#1366434,TGFb,72,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.72.HDFn,TGFb.72.A,30,F,4,,39,G,5
Adult,G,#1528526,Control,0.5,3,1,3,GSS2375_WellData_p3.txt,7,Control.0.5.Adult,Control.0.5.G,31,G,4,,58,B,8
Adult,G,#1528526,Control,8,3,1,3,GSS2375_WellData_p3.txt,7,Control.8.Adult,Control.8.G,32,H,4,,19,C,3
HDFn,A,#1366434,TGFb,2,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.2.HDFn,TGFb.2.A,33,A,5,,38,F,5
HDFn,A,#1366434,TGFb,8,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.8.HDFn,TGFb.8.A,34,B,5,,14,F,2
HDFn,A,#1366434,Baseline,96,3,1,3,GSS2375_WellData_p3.txt,7,Baseline.96.HDFn,Baseline.96.A,35,C,5,,72,H,9
HDFn,A,#1366434,Control,24,3,1,3,GSS2375_WellData_p3.txt,7,Control.24.HDFn,Control.24.A,36,D,5,,16,H,2
Adult,G,#1528526,Control,3,3,1,3,GSS2375_WellData_p3.txt,7,Control.3.Adult,Control.3.G,37,E,5,,30,F,4
Adult,G,#1528526,Control,48,3,1,3,GSS2375_WellData_p3.txt,7,Control.48.Adult,Control.48.G,38,F,5,,35,C,5
Adult,G,#1528526,Control,12,3,1,3,GSS2375_WellData_p3.txt,7,Control.12.Adult,Control.12.G,39,G,5,,54,F,7
SEN,D,#1366434,TGFb,1,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.1.SEN,TGFb.1.D,40,H,5,,65,A,9
HDFn,A,#1366434,TGFb,24,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.24.HDFn,TGFb.24.A,41,A,6,,3,C,1
SEN,D,#1366434,TGFb,4,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.4.SEN,TGFb.4.D,42,B,6,,36,D,5
HDFn,A,#1366434,Control,12,3,1,3,GSS2375_WellData_p3.txt,7,Control.12.HDFn,Control.12.A,43,C,6,,46,F,6
