Cell.Line,Cell.ID,Lot.Number,Treatment Start Date,Treatment,Time.Point,Replicate,Sub.experiment,Batch,Filename,WG.Plate,factor1,factor2,Iso.Order,Iso.Row,Iso.Col,RNAYield(ug),Label.Order,Label.Row,Label.Col,Sample
HDFn,A,#1366434,20-06-2017,TGFb,4,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.4.HDFn,TGFb.4.A,62,F,8,,21,E,3,TGFb_4_A_1
HDFn,A,#1366434,20-06-2017,Baseline,0,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.0.HDFn,Baseline.0.A,68,D,9,,63,G,8,Baseline_0_A_1
HDFn,A,#1366434,20-06-2017,Control,72,1,1,1,GSS2375_WellData_p1.txt,1,Control.72.HDFn,Control.72.A,71,G,9,,4,D,1,Control_72_A_1
SEN,D,#1366434,04-07-2017,Control,72,1,1,1,GSS2375_WellData_p1.txt,1,Control.72.SEN,Control.72.D,1,A,1,,14,F,2,Control_72_D_1
SEN,D,#1366434,04-07-2017,TGFb,24,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.24.SEN,TGFb.24.D,6,F,1,,8,H,1,TGFb_24_D_1
SEN,D,#1366434,04-07-2017,TGFb,48,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.48.SEN,TGFb.48.D,7,G,1,,50,B,7,TGFb_48_D_1
SEN,D,#1366434,04-07-2017,Control,24,1,1,1,GSS2375_WellData_p1.txt,1,Control.24.SEN,Control.24.D,11,C,2,,29,E,4,Control_24_D_1
SEN,D,#1366434,04-07-2017,Control,4,1,1,1,GSS2375_WellData_p1.txt,1,Control.4.SEN,Control.4.D,19,C,3,,54,F,7,Control_4_D_1
SEN,D,#1366434,04-07-2017,TGFb,4,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.4.SEN,TGFb.4.D,21,E,3,,45,E,6,TGFb_4_D_1
SEN,D,#1366434,04-07-2017,Control,96,1,1,1,GSS2375_WellData_p1.txt,1,Control.96.SEN,Control.96.D,22,F,3,,16,H,2,Control_96_D_1
SEN,D,#1366434,04-07-2017,Control,3,1,1,1,GSS2375_WellData_p1.txt,1,Control.3.SEN,Control.3.D,23,G,3,,42,B,6,Control_3_D_1
SEN,D,#1366434,04-07-2017,Control,12,1,1,1,GSS2375_WellData_p1.txt,1,Control.12.SEN,Control.12.D,24,H,3,,22,F,3,Control_12_D_1
SEN,D,#1366434,04-07-2017,TGFb,2,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.2.SEN,TGFb.2.D,26,B,4,,27,C,4,TGFb_2_D_1
SEN,D,#1366434,04-07-2017,TGFb,96,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.96.SEN,TGFb.96.D,28,D,4,,12,D,2,TGFb_96_D_1
SEN,D,#1366434,04-07-2017,TGFb,0.5,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.0.5.SEN,TGFb.0.5.D,34,B,5,,66,B,9,TGFb_0.5_D_1
SEN,D,#1366434,04-07-2017,Baseline,96,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.96.SEN,Baseline.96.D,38,F,5,,28,D,4,Baseline_96_D_1
SEN,D,#1366434,04-07-2017,Control,8,1,1,1,GSS2375_WellData_p1.txt,1,Control.8.SEN,Control.8.D,41,A,6,,56,H,7,Control_8_D_1
SEN,D,#1366434,04-07-2017,TGFb,72,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.72.SEN,TGFb.72.D,42,B,6,,47,G,6,TGFb_72_D_1
SEN,D,#1366434,04-07-2017,Control,48,1,1,1,GSS2375_WellData_p1.txt,1,Control.48.SEN,Control.48.D,43,C,6,,40,H,5,Control_48_D_1
SEN,D,#1366434,04-07-2017,TGFb,8,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.8.SEN,TGFb.8.D,44,D,6,,61,E,8,TGFb_8_D_1
SEN,D,#1366434,04-07-2017,TGFb,1,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.1.SEN,TGFb.1.D,45,E,6,,44,D,6,TGFb_1_D_1
SEN,D,#1366434,04-07-2017,TGFb,3,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.3.SEN,TGFb.3.D,47,G,6,,7,G,1,TGFb_3_D_1
SEN,D,#1366434,04-07-2017,Control,0.5,1,1,1,GSS2375_WellData_p1.txt,1,Control.0.5.SEN,Control.0.5.D,54,F,7,,3,C,1,Control_0.5_D_1
SEN,D,#1366434,04-07-2017,Control,1,1,1,1,GSS2375_WellData_p1.txt,1,Control.1.SEN,Control.1.D,55,G,7,,72,H,9,Control_1_D_1
SEN,D,#1366434,04-07-2017,TGFb,12,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.12.SEN,TGFb.12.D,60,D,8,,43,C,6,TGFb_12_D_1
SEN,D,#1366434,04-07-2017,Baseline,0,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.0.SEN,Baseline.0.D,65,A,9,,39,G,5,Baseline_0_D_1
SEN,D,#1366434,04-07-2017,Control,2,1,1,1,GSS2375_WellData_p1.txt,1,Control.2.SEN,Control.2.D,70,F,9,,17,A,3,Control_2_D_1
Adult,G,#1528526,18-07-2017,Control,12,1,1,1,GSS2375_WellData_p1.txt,1,Control.12.Adult,Control.12.G,2,B,1,,33,A,5,Control_12_G_1
Adult,G,#1528526,18-07-2017,TGFb,48,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.48.Adult,TGFb.48.G,3,C,1,,18,B,3,TGFb_48_G_1
Adult,G,#1528526,18-07-2017,Control,0.5,1,1,1,GSS2375_WellData_p1.txt,1,Control.0.5.Adult,Control.0.5.G,5,E,1,,13,E,2,Control_0.5_G_1
Adult,G,#1528526,18-07-2017,TGFb,2,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.2.Adult,TGFb.2.G,8,H,1,,11,C,2,TGFb_2_G_1
Adult,G,#1528526,18-07-2017,Control,2,1,1,1,GSS2375_WellData_p1.txt,1,Control.2.Adult,Control.2.G,9,A,2,,34,B,5,Control_2_G_1
Adult,G,#1528526,18-07-2017,Control,96,1,1,1,GSS2375_WellData_p1.txt,1,Control.96.Adult,Control.96.G,10,B,2,,58,B,8,Control_96_G_1
Adult,G,#1528526,18-07-2017,TGFb,1,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.1.Adult,TGFb.1.G,13,E,2,,41,A,6,TGFb_1_G_1
Adult,G,#1528526,18-07-2017,Control,4,1,1,1,GSS2375_WellData_p1.txt,1,Control.4.Adult,Control.4.G,14,F,2,,57,A,8,Control_4_G_1
Adult,G,#1528526,18-07-2017,TGFb,3,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.3.Adult,TGFb.3.G,17,A,3,,46,F,6,TGFb_3_G_1
Adult,G,#1528526,18-07-2017,TGFb,96,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.96.Adult,TGFb.96.G,18,B,3,,30,F,4,TGFb_96_G_1
Adult,G,#1528526,18-07-2017,Control,48,1,1,1,GSS2375_WellData_p1.txt,1,Control.48.Adult,Control.48.G,20,D,3,,70,F,9,Control_48_G_1
Adult,G,#1528526,18-07-2017,Baseline,96,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.96.Adult,Baseline.96.G,25,A,4,,26,B,4,Baseline_96_G_1
Adult,G,#1528526,18-07-2017,TGFb,8,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.8.Adult,TGFb.8.G,29,E,4,,32,H,4,TGFb_8_G_1
Adult,G,#1528526,18-07-2017,TGFb,0.5,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.0.5.Adult,TGFb.0.5.G,30,F,4,,1,A,1,TGFb_0.5_G_1
Adult,G,#1528526,18-07-2017,Control,24,1,1,1,GSS2375_WellData_p1.txt,1,Control.24.Adult,Control.24.G,33,A,5,,19,C,3,Control_24_G_1
Adult,G,#1528526,18-07-2017,TGFb,24,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.24.Adult,TGFb.24.G,39,G,5,,38,F,5,TGFb_24_G_1
Adult,G,#1528526,18-07-2017,Control,1,1,1,1,GSS2375_WellData_p1.txt,1,Control.1.Adult,Control.1.G,49,A,7,,6,F,1,Control_1_G_1
Adult,G,#1528526,18-07-2017,Control,8,1,1,1,GSS2375_WellData_p1.txt,1,Control.8.Adult,Control.8.G,50,B,7,,64,H,8,Control_8_G_1
Adult,G,#1528526,18-07-2017,TGFb,4,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.4.Adult,TGFb.4.G,63,G,8,,67,C,9,TGFb_4_G_1
Adult,G,#1528526,18-07-2017,Control,3,1,1,1,GSS2375_WellData_p1.txt,1,Control.3.Adult,Control.3.G,64,H,8,,35,C,5,Control_3_G_1
Adult,G,#1528526,18-07-2017,Control,72,1,1,1,GSS2375_WellData_p1.txt,1,Control.72.Adult,Control.72.G,66,B,9,,9,A,2,Control_72_G_1
Adult,G,#1528526,18-07-2017,TGFb,72,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.72.Adult,TGFb.72.G,67,C,9,,53,E,7,TGFb_72_G_1
Adult,G,#1528526,18-07-2017,Baseline,0,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.0.Adult,Baseline.0.G,69,E,9,,10,B,2,Baseline_0_G_1
Adult,G,#1528526,18-07-2017,TGFb,12,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.12.Adult,TGFb.12.G,72,H,9,,49,A,7,TGFb_12_G_1
HDFn,B,#1366356,20-06-2017,Control,48,1,2,7,GSS2375_WellData_p2.txt,2,Control.48.HDFn,Control.48.B,3,C,1,,28,D,4,Control_48_B_1
HDFn,B,#1366356,20-06-2017,TGFb,48,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.48.HDFn,TGFb.48.B,8,H,1,,45,E,6,TGFb_48_B_1
HDFn,B,#1366356,20-06-2017,Baseline,96,1,2,7,GSS2375_WellData_p2.txt,2,Baseline.96.HDFn,Baseline.96.B,11,C,2,,47,G,6,Baseline_96_B_1
HDFn,B,#1366356,20-06-2017,TGFb,1,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.1.HDFn,TGFb.1.B,12,D,2,,49,A,7,TGFb_1_B_1
HDFn,B,#1366356,20-06-2017,Control,2,1,2,7,GSS2375_WellData_p2.txt,2,Control.2.HDFn,Control.2.B,15,G,2,,59,C,8,Control_2_B_1
HDFn,B,#1366356,20-06-2017,Control,4,1,2,7,GSS2375_WellData_p2.txt,2,Control.4.HDFn,Control.4.B,18,B,3,,24,H,3,Control_4_B_1
HDFn,B,#1366356,20-06-2017,Control,12,1,2,7,GSS2375_WellData_p2.txt,2,Control.12.HDFn,Control.12.B,25,A,4,,71,G,9,Control_12_B_1
HDFn,B,#1366356,20-06-2017,Control,8,1,2,7,GSS2375_WellData_p2.txt,2,Control.8.HDFn,Control.8.B,26,B,4,,67,C,9,Control_8_B_1
HDFn,B,#1366356,20-06-2017,Baseline,0,1,2,7,GSS2375_WellData_p2.txt,2,Baseline.0.HDFn,Baseline.0.B,27,C,4,,43,C,6,Baseline_0_B_1
HDFn,B,#1366356,20-06-2017,TGFb,4,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.4.HDFn,TGFb.4.B,30,F,4,,48,H,6,TGFb_4_B_1
HDFn,B,#1366356,20-06-2017,TGFb,96,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.96.HDFn,TGFb.96.B,33,A,5,,50,B,7,TGFb_96_B_1
HDFn,B,#1366356,20-06-2017,TGFb,12,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.12.HDFn,TGFb.12.B,37,E,5,,65,A,9,TGFb_12_B_1
HDFn,B,#1366356,20-06-2017,TGFb,0.5,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.0.5.HDFn,TGFb.0.5.B,38,F,5,,34,B,5,TGFb_0.5_B_1
HDFn,B,#1366356,20-06-2017,TGFb,2,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.2.HDFn,TGFb.2.B,42,B,6,,56,H,7,TGFb_2_B_1
HDFn,B,#1366356,20-06-2017,TGFb,3,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.3.HDFn,TGFb.3.B,47,G,6,,2,B,1,TGFb_3_B_1
HDFn,B,#1366356,20-06-2017,TGFb,24,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.24.HDFn,TGFb.24.B,50,B,7,,72,H,9,TGFb_24_B_1
HDFn,B,#1366356,20-06-2017,Control,96,1,2,7,GSS2375_WellData_p2.txt,2,Control.96.HDFn,Control.96.B,53,E,7,,31,G,4,Control_96_B_1
HDFn,B,#1366356,20-06-2017,TGFb,72,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.72.HDFn,TGFb.72.B,55,G,7,,42,B,6,TGFb_72_B_1
HDFn,B,#1366356,20-06-2017,Control,72,1,2,7,GSS2375_WellData_p2.txt,2,Control.72.HDFn,Control.72.B,56,H,7,,15,G,2,Control_72_B_1
HDFn,B,#1366356,20-06-2017,TGFb,8,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.8.HDFn,TGFb.8.B,62,F,8,,51,C,7,TGFb_8_B_1
HDFn,B,#1366356,20-06-2017,Control,1,1,2,7,GSS2375_WellData_p2.txt,2,Control.1.HDFn,Control.1.B,63,G,8,,30,F,4,Control_1_B_1
HDFn,B,#1366356,20-06-2017,Control,3,1,2,7,GSS2375_WellData_p2.txt,2,Control.3.HDFn,Control.3.B,66,B,9,,66,B,9,Control_3_B_1
HDFn,B,#1366356,20-06-2017,Control,0.5,1,2,7,GSS2375_WellData_p2.txt,2,Control.0.5.HDFn,Control.0.5.B,71,G,9,,10,B,2,Control_0.5_B_1
HDFn,B,#1366356,20-06-2017,Control,24,1,2,7,GSS2375_WellData_p2.txt,2,Control.24.HDFn,Control.24.B,72,H,9,,44,D,6,Control_24_B_1
SEN,E,#1366356,04-07-2017,TGFb,8,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.8.SEN,TGFb.8.E,4,D,1,,23,G,3,TGFb_8_E_1
SEN,E,#1366356,04-07-2017,TGFb,2,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.2.SEN,TGFb.2.E,9,A,2,,19,C,3,TGFb_2_E_1
SEN,E,#1366356,04-07-2017,Control,1,1,2,7,GSS2375_WellData_p2.txt,2,Control.1.SEN,Control.1.E,10,B,2,,9,A,2,Control_1_E_1
SEN,E,#1366356,04-07-2017,TGFb,24,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.24.SEN,TGFb.24.E,13,E,2,,14,F,2,TGFb_24_E_1
SEN,E,#1366356,04-07-2017,Baseline,0,1,2,7,GSS2375_WellData_p2.txt,2,Baseline.0.SEN,Baseline.0.E,16,H,2,,29,E,4,Baseline_0_E_1
SEN,E,#1366356,04-07-2017,Control,72,1,2,7,GSS2375_WellData_p2.txt,2,Control.72.SEN,Control.72.E,17,A,3,,70,F,9,Control_72_E_1
SEN,E,#1366356,04-07-2017,TGFb,3,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.3.SEN,TGFb.3.E,23,G,3,,46,F,6,TGFb_3_E_1
SEN,E,#1366356,04-07-2017,Control,0.5,1,2,7,GSS2375_WellData_p2.txt,2,Control.0.5.SEN,Control.0.5.E,28,D,4,,39,G,5,Control_0.5_E_1
SEN,E,#1366356,04-07-2017,Control,12,1,2,7,GSS2375_WellData_p2.txt,2,Control.12.SEN,Control.12.E,31,G,4,,7,G,1,Control_12_E_1
SEN,E,#1366356,04-07-2017,Baseline,96,1,2,7,GSS2375_WellData_p2.txt,2,Baseline.96.SEN,Baseline.96.E,34,B,5,,22,F,3,Baseline_96_E_1
SEN,E,#1366356,04-07-2017,Control,24,1,2,7,GSS2375_WellData_p2.txt,2,Control.24.SEN,Control.24.E,39,G,5,,63,G,8,Control_24_E_1
SEN,E,#1366356,04-07-2017,Control,3,1,2,7,GSS2375_WellData_p2.txt,2,Control.3.SEN,Control.3.E,40,H,5,,58,B,8,Control_3_E_1
SEN,E,#1366356,04-07-2017,Control,96,1,2,7,GSS2375_WellData_p2.txt,2,Control.96.SEN,Control.96.E,41,A,6,,27,C,4,Control_96_E_1
SEN,E,#1366356,04-07-2017,Control,8,1,2,7,GSS2375_WellData_p2.txt,2,Control.8.SEN,Control.8.E,43,C,6,,20,D,3,Control_8_E_1
SEN,E,#1366356,04-07-2017,TGFb,4,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.4.SEN,TGFb.4.E,45,E,6,,52,D,7,TGFb_4_E_1
SEN,E,#1366356,04-07-2017,TGFb,72,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.72.SEN,TGFb.72.E,48,H,6,,4,D,1,TGFb_72_E_1
SEN,E,#1366356,04-07-2017,TGFb,96,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.96.SEN,TGFb.96.E,54,F,7,,18,B,3,TGFb_96_E_1
SEN,E,#1366356,04-07-2017,TGFb,0.5,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.0.5.SEN,TGFb.0.5.E,57,A,8,,35,C,5,TGFb_0.5_E_1
SEN,E,#1366356,04-07-2017,TGFb,12,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.12.SEN,TGFb.12.E,59,C,8,,5,E,1,TGFb_12_E_1
SEN,E,#1366356,04-07-2017,Control,2,1,2,7,GSS2375_WellData_p2.txt,2,Control.2.SEN,Control.2.E,61,E,8,,6,F,1,Control_2_E_1
SEN,E,#1366356,04-07-2017,TGFb,1,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.1.SEN,TGFb.1.E,64,H,8,,8,H,1,TGFb_1_E_1
SEN,E,#1366356,04-07-2017,Control,4,1,2,7,GSS2375_WellData_p2.txt,2,Control.4.SEN,Control.4.E,65,A,9,,12,D,2,Control_4_E_1
SEN,E,#1366356,04-07-2017,Control,48,1,2,7,GSS2375_WellData_p2.txt,2,Control.48.SEN,Control.48.E,68,D,9,,3,C,1,Control_48_E_1
SEN,E,#1366356,04-07-2017,TGFb,48,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.48.SEN,TGFb.48.E,69,E,9,,40,H,5,TGFb_48_E_1
Adult,H,#1090465,27-06-2017,Control,2,1,2,7,GSS2375_WellData_p2.txt,2,Control.2.Adult,Control.2.H,1,A,1,,41,A,6,Control_2_H_1
Adult,H,#1090465,27-06-2017,TGFb,24,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.24.Adult,TGFb.24.H,2,B,1,,26,B,4,TGFb_24_H_1
Adult,H,#1090465,27-06-2017,Control,72,1,2,7,GSS2375_WellData_p2.txt,2,Control.72.Adult,Control.72.H,5,E,1,,25,A,4,Control_72_H_1
Adult,H,#1090465,27-06-2017,TGFb,4,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.4.Adult,TGFb.4.H,6,F,1,,17,A,3,TGFb_4_H_1
Adult,H,#1090465,27-06-2017,TGFb,96,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.96.Adult,TGFb.96.H,7,G,1,,60,D,8,TGFb_96_H_1
Adult,H,#1090465,27-06-2017,Control,3,1,2,7,GSS2375_WellData_p2.txt,2,Control.3.Adult,Control.3.H,14,F,2,,64,H,8,Control_3_H_1
Adult,H,#1090465,27-06-2017,TGFb,0.5,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.0.5.Adult,TGFb.0.5.H,19,C,3,,54,F,7,TGFb_0.5_H_1
Adult,H,#1090465,27-06-2017,Control,12,1,2,7,GSS2375_WellData_p2.txt,2,Control.12.Adult,Control.12.H,20,D,3,,13,E,2,Control_12_H_1
Adult,H,#1090465,27-06-2017,Control,0.5,1,2,7,GSS2375_WellData_p2.txt,2,Control.0.5.Adult,Control.0.5.H,21,E,3,,61,E,8,Control_0.5_H_1
Adult,H,#1090465,27-06-2017,TGFb,8,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.8.Adult,TGFb.8.H,22,F,3,,11,C,2,TGFb_8_H_1
Adult,H,#1090465,27-06-2017,Control,96,1,2,7,GSS2375_WellData_p2.txt,2,Control.96.Adult,Control.96.H,24,H,3,,38,F,5,Control_96_H_1
Adult,H,#1090465,27-06-2017,Control,4,1,2,7,GSS2375_WellData_p2.txt,2,Control.4.Adult,Control.4.H,29,E,4,,36,D,5,Control_4_H_1
Adult,H,#1090465,27-06-2017,TGFb,12,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.12.Adult,TGFb.12.H,32,H,4,,62,F,8,TGFb_12_H_1
Adult,H,#1090465,27-06-2017,Baseline,96,1,2,7,GSS2375_WellData_p2.txt,2,Baseline.96.Adult,Baseline.96.H,35,C,5,,68,D,9,Baseline_96_H_1
Adult,H,#1090465,27-06-2017,TGFb,1,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.1.Adult,TGFb.1.H,36,D,5,,53,E,7,TGFb_1_H_1
Adult,H,#1090465,27-06-2017,Control,1,1,2,7,GSS2375_WellData_p2.txt,2,Control.1.Adult,Control.1.H,44,D,6,,32,H,4,Control_1_H_1
Adult,H,#1090465,27-06-2017,Baseline,0,1,2,7,GSS2375_WellData_p2.txt,2,Baseline.0.Adult,Baseline.0.H,46,F,6,,37,E,5,Baseline_0_H_1
Adult,H,#1090465,27-06-2017,TGFb,72,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.72.Adult,TGFb.72.H,49,A,7,,21,E,3,TGFb_72_H_1
Adult,H,#1090465,27-06-2017,TGFb,3,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.3.Adult,TGFb.3.H,51,C,7,,57,A,8,TGFb_3_H_1
Adult,H,#1090465,27-06-2017,TGFb,48,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.48.Adult,TGFb.48.H,52,D,7,,55,G,7,TGFb_48_H_1
Adult,H,#1090465,27-06-2017,TGFb,2,1,2,7,GSS2375_WellData_p2.txt,2,TGFb.2.Adult,TGFb.2.H,58,B,8,,33,A,5,TGFb_2_H_1
Adult,H,#1090465,27-06-2017,Control,8,1,2,7,GSS2375_WellData_p2.txt,2,Control.8.Adult,Control.8.H,60,D,8,,69,E,9,Control_8_H_1
Adult,H,#1090465,27-06-2017,Control,24,1,2,7,GSS2375_WellData_p2.txt,2,Control.24.Adult,Control.24.H,67,C,9,,1,A,1,Control_24_H_1
Adult,H,#1090465,27-06-2017,Control,48,1,2,7,GSS2375_WellData_p2.txt,2,Control.48.Adult,Control.48.H,70,F,9,,16,H,2,Control_48_H_1
HDFn,C,#1206197,11-07-2017,Control,8,1,3,13,GSS2375_WellData_p3.txt,3,Control.8.HDFn,Control.8.C,12,D,2,,38,F,5,Control_8_C_1
HDFn,C,#1206197,11-07-2017,TGFb,1,1,3,13,GSS2375_WellData_p3.txt,3,TGFb.1.HDFn,TGFb.1.C,13,E,2,,58,B,8,TGFb_1_C_1
HDFn,C,#1206197,11-07-2017,TGFb,0.5,1,3,13,GSS2375_WellData_p3.txt,3,TGFb.0.5.HDFn,TGFb.0.5.C,19,C,3,,67,C,9,TGFb_0.5_C_1
HDFn,C,#1206197,11-07-2017,Control,72,1,3,13,GSS2375_WellData_p3.txt,3,Control.72.HDFn,Control.72.C,20,D,3,,15,G,2,Control_72_C_1
HDFn,C,#1206197,11-07-2017,TGFb,48,1,3,13,GSS2375_WellData_p3.txt,3,TGFb.48.HDFn,TGFb.48.C,26,B,4,,32,H,4,TGFb_48_C_1
HDFn,C,#1206197,11-07-2017,Control,1,1,3,13,GSS2375_WellData_p3.txt,3,Control.1.HDFn,Control.1.C,27,C,4,,16,H,2,Control_1_C_1
HDFn,C,#1206197,11-07-2017,TGFb,24,1,3,13,GSS2375_WellData_p3.txt,3,TGFb.24.HDFn,TGFb.24.C,28,D,4,,23,G,3,TGFb_24_C_1
